depth,surface_diff,svd_threshold,expansion_order,runtime,min_rel_err,mean_rel_err,max_rel_err,rel_l2_err,n_iter,n_oversamples,setup_time,cutoff_rank,rsvd
5,0,0.1,7,10936,2.05142538e-08,4.7167891782e-06,1.72291845783e-05,5.4673290102e-06,0,20,5807,39,1
5,0,0.0,6,11129,9.654909485e-07,1.4208179082e-06,1.9651907714e-06,1.436686696e-06,0,10,4448,76,1
5,0,1e-07,6,10902,9.653475113e-07,1.4207204409e-06,1.9650355288e-06,1.4365878353e-06,0,10,4331,76,1
5,0,1e-05,6,10965,9.495486886e-07,1.4090969228e-06,1.9499909119e-06,1.4249672896e-06,0,10,4426,76,1
5,0,0.001,6,10914,1.94260417e-07,8.190523339e-07,1.211164159e-06,8.421528478e-07,0,10,4955,76,1
5,0,0.1,6,10535,4.0597901973e-05,5.02440997433e-05,5.33188782787e-05,5.02995521574e-05,0,10,5191,39,1
5,1,0.0,6,11698,1.56789961e-08,3.578358484e-07,8.077437438e-07,3.944511061e-07,0,10,5013,109,1
5,1,1e-07,6,11356,1.57088334e-08,3.577870456e-07,8.076433968e-07,3.94401466e-07,0,10,4913,109,1
5,1,1e-05,6,11137,2.21342855e-08,3.464463278e-07,7.889392568e-07,3.831568565e-07,0,10,4943,109,1
5,1,0.001,6,11014,8.451478e-10,1.498234486e-07,6.042840013e-07,1.764122178e-07,0,10,5628,107,1
5,1,0.1,6,10614,5.5776278384e-06,2.13726265709e-05,2.61503205264e-05,2.17761431978e-05,0,10,5602,39,1
5,2,0.0,5,11611,1.52327616e-07,9.421764354e-07,1.8163384987e-06,9.78824095e-07,0,20,4761,97,1
5,2,1e-07,5,11041,1.524517703e-07,9.422946362e-07,1.8165571695e-06,9.789442934e-07,0,20,4735,97,1
5,2,1e-05,5,10888,1.671028131e-07,9.551789876e-07,1.8369077575e-06,9.918729972e-07,0,20,4777,97,1
